"","player_api_id","player_name","overall_rating","gk_rating","num_of_appearances","num_of_leagues"
"5995",193807,"Jonathan Rivierez",68,67,7,1
"5996",495107,"Jonathan Rodriguez",74,53,6,1
"5997",96645,"Jonathan Rossini",71,127,27,1
"5998",393337,"Jonathan Sabbatini",60,45,17,1
"5999",38606,"Jonathan Santana",76,163,3,1
"6000",240837,"Jonathan Schmid",75,47,79,1
"6001",33729,"Jonathan Sesma",76,147,46,1
"6002",37871,"Jonathan Soriano",NA,NA,1,NA
"6003",33312,"Jonathan Spector",NA,NA,22,1
"6004",179397,"Jonathan Tinhan",67,139,1,1
"6005",35954,"Jonathan Tuffey",63,314,8,1
"6006",114680,"Jonathan Urretaviscaya",75,143,21,1
"6007",114680,"Jonathan Urretaviscaya",75,143,21,2
"6008",213729,"Jonathan Viera",77,118,58,1
"6009",213729,"Jonathan Viera",77,118,58,2
"6010",41568,"Jonathan Vila",70,133,10,1
"6011",33881,"Jonathan Walters",NA,NA,166,1
"6012",45490,"Jonathan Wilmet",66,116,50,1
"6013",38697,"Jonathan Woodgate",NA,NA,42,1
"6014",32574,"Jonathan Zebina",76,144,95,1
"6015",32574,"Jonathan Zebina",76,144,95,2
"6016",280483,"Jonathan Zongo",72,54,15,1
"6017",19352,"Jonathan",78,151,49,1
"6018",128732,"Jonathas",79,123,58,3
"6019",128732,"Jonathas",79,123,58,2
"6020",209466,"Jonathas",67,59,1,NA
"6021",95344,"Jonathon Grounds",68,128,9,1
"6022",95344,"Jonathon Grounds",68,128,9,2
"6023",159803,"Jonathon Routledge",61,131,15,1
"6024",127130,"Jonjo Shelvey",77,137,86,1
"6025",43248,"Jonny Evans",79,132,151,1
"6026",120116,"Jonny Rowell",66,95,11,1
"6027",541557,"Jony",77,62,33,1
"6028",130667,"Joo-Ho Park",75,58,82,1
"6029",130667,"Joo-Ho Park",75,58,82,2
"6030",42707,"Joonas Kolkka",70,150,46,1
"6031",26491,"Joost Broerse",67,58,76,1
"6032",26508,"Joost Terol",65,328,3,1
"6033",466854,"Joost van Aken",71,47,49,1
"6034",9149,"Joost Volmer",65,101,10,NA
"6035",21765,"Jop van der Linden",72,53,75,1
"6036",352943,"Jordan Adeoti",70,48,17,1
"6037",473853,"Jordan Amavi",75,58,25,1
"6038",473853,"Jordan Amavi",75,58,25,2
"6039",154280,"Jordan Ayew",76,111,117,2
"6040",154280,"Jordan Ayew",76,111,117,1
"6041",149895,"Jordan Bowery",63,129,1,1
"6042",210119,"Jordan Ferri",76,59,37,1
"6043",264216,"Jordan Forster",61,58,22,1
"6044",156008,"Jordan Henderson",79,134,177,1
"6045",127141,"Jordan Kirkpatrick",47,121,3,1
"6046",671644,"Jordan Leborgne",64,51,1,1
"6047",17875,"Jordan Loties",74,135,112,1
"6048",17875,"Jordan Loties",74,135,112,2
"6049",173462,"Jordan Lukaku",72,53,47,1
"6050",706985,"Jordan Lyden",58,53,1,1
"6051",445510,"Jordan McGhee",60,71,20,1
"6052",58486,"Jordan McMillan",59,119,38,1
"6053",201804,"Jordan Mustoe",64,47,18,1
"6054",303919,"Jordan Pickford",71,367,2,1
"6055",38777,"Jordan Remacle",70,46,70,1
"6056",303922,"Jordan Roberts",58,68,6,1
"6057",46381,"Jordan Robertson",57,43,1,1
"6058",422413,"Jordan Rolly Botaka",67,64,14,1
"6059",215930,"Jordan Slew",63,64,17,1
