"","reg_num","subj","crse","sect","title","units","instructor","days","time","place"
"351","10452","MATH","441","F","Topics In Computer Theory","1.0","Fix","M-W-F","02:10PM03:00","LIB204"
"352","10329","MUS","103","F","Chamber Orchestra","0.5","Schiff","M","06:10PM07:30","KAUL"
"353","20324","MUS","103","S","Chamber Orchestra","0.5","Schiff","M","06:10PM07:30","KAUL"
"354","10321","MUS","105","F","Chorus","0.5","Hancock","T","04:40PM06:00","ELIOT314"
"355","20316","MUS","105","S","Chorus","0.5","Hancock","T","04:40PM06:00","ELIOT314"
"356","10322","MUS","107","F","Collegium Musicum","0.5","Hancock","W","04:40PM06:00","ELIOT123"
"357","10462","ART","371","F","Intermed Paint,Draw,PrintmakI","1.0","Knutson","T-Th","01:10PM04:00","ARTPAINT"
"358","20317","MUS","107","S","Collegium Musicum","0.5","Hancock","W","04:40PM06:00","ELIOT123"
"359","10464","MUS","110","F","Intro to Music Listening","1.0","Falk","M-W-F","12:00PM12:50","ELIOT416"
"360","10465","MUS","111","F","Music Theory I","1.0","Hancock","M-W-F","01:10PM02:00","ELIOT416"
"361","10466","MUS","111","FL1","Music Theory I","0.0","Hancock","M","11:00AM11:50","ELIOT416"
"362","10467","MUS","111","FL2","Music Theory I","0.0","Hancock","M","03:10PM04:00","ELIOT416"
"363","10468","MUS","111","FL3","Music Theory I","0.0","Hancock","T","02:10PM03:00","ELIOT416"
"364","10469","MUS","111","FL4","Music Theory I","0.0","Hancock","W","02:10PM03:00","ELIOT301A"
"365","20471","MUS","112","S","Theory II:IntermediateHarmony","1.0","Hancock","M-W-F","01:10PM02:00","ELIOT416"
"366","20472","MUS","112","SL1","Theory II:IntermediateHarmony","0.0","Hancock","M","03:10PM04:00","ELIOT301A"
"367","20473","MUS","112","SL2","Theory II:IntermediateHarmony","0.0","Hancock","W","02:10PM03:00","ELIOT301A"
"368","20469","ART","372","S","IntermedPaint,Draw,PrintmakII","1.0","Knutson","T-Th","01:10PM04:00","ARTPAINT"
"369","20474","MUS","122","S","Survey of Western Music","1.0","Falk","M-W-F","12:00PM12:50","ELIOT416"
"370","10470","MUS","212","F","Theory III: BaroqueCounterpnt","1.0","Schiff","M-W-F","10:00AM10:50","ELIOT301A"
"371","20648","MUS","236","S","The String Quartet","1.0","Falk","T-Th","10:30AM11:50","LIB36"
"372","10471","MUS","251","F","Representation in Music","1.0","Falk","T-Th","01:10PM02:30","LIB36"
"373","20475","MUS","256","S","Romantic Music","1.0","Hancock","T-Th","01:10PM02:30","ELIOT416"
"374","20476","MUS","262","S01","Jazz","1.0","Schiff","M-W-F","02:10PM03:00","ELIOT416"
"375","20477","MUS","262","S02","Jazz","1.0","Schiff","M-W-F","03:10PM04:00","ELIOT416"
"376","10472","MUS","264","F","Modernism in Music","1.0","Schiff","M-W-F","02:10PM03:00","ELIOT416"
"377","10473","MUS","311","F","Medieval and RenaissanceMusic","1.0","Falk","T-Th","10:30AM11:50","LIB36"
"378","20478","MUS","343","S","Advanced Analysis","1.0","Schiff","M-W-F","10:00AM10:50","ELIOT301A"
"379","10463","ART","381","F","Intermed Sculp  and  Multimedia I","1.0","Ondrizek","T-Th","01:10PM04:00","ARTSCULP"
"380","10656","PE","101","AE6","Aerobics","0.0","Casey","M-W","06:10PM07:00","SPORTSDANCE"
"381","10657","PE","101","AE7","Aerobics","0.0","Casey","M-W","07:10PM08:00","SPORTSDANCE"
"382","10658","PE","101","AFD","African Dance","0.0","Casey","T-Th","04:10PM05:00","SPORTSDANCE"
"383","10661","PE","101","AIK","Aikido","0.0","Casey","M-W","07:10PM09:00","SPORTSMAT"
"384","10659","PE","101","AR3","Archery","0.0","Casey","M-W","03:10PM04:00","SPORTS"
"385","10660","PE","101","AR4","Archery","0.0","Casey","M-W","04:10PM05:00","SPORTS"
"386","10664","PE","101","BEL","Bellydance","0.0","Casey","T","06:10PM08:00","SPORTSDANCE"
"387","10662","PE","101","BRB","Ballroom Dance-Beginning","0.0","Casey","W","06:10PM08:00","SPORTSGYMII"
"388","10663","PE","101","BRI","Ballroom Dance-Intermediate","0.0","Casey","W","08:10PM10:00","SPORTSDANCE"
"389","10665","PE","101","CAN","Canoeing","0.0","Casey","W","04:10PM06:30","SPORTS"
"390","20470","ART","382","S","Intermed Sculp  and  MultimediaII","1.0","Ondrizek","T-Th","01:10PM04:00","ARTSCULP"
"391","10680","PE","101","DEF","Self Defense","0.0","Casey","Th","07:10PM09:30","SPORTSMAT"
"392","10666","PE","101","FEN","Fencing","0.0","Casey","M-Th","06:40PM08:30","SPORTSGYMII"
"393","10667","PE","101","FLK","Folkdance","0.0","Casey","Th","07:40PM10:00","SPORTSDANCE"
"394","10668","PE","101","GLF","Golf","0.0","Casey","T-Th","02:10PM03:00","SPORTS"
"395","10698","PE","101","HAT","Yoga-Hatha","0.0","Casey","T-Th","05:10PM06:00","SPORTSDANCE"
"396","10671","PE","101","JDO","Judo","0.0","Casey","M-W","03:40PM05:30","SPORTSMAT"
"397","10670","PE","101","JGL","Juggling","0.0","Casey","W","07:10PM09:00","SPORTSGYMI"
"398","10669","PE","101","JIT","Jitterbug","0.0","Casey","M","06:10PM08:00","WINCH"
"399","10697","PE","101","KUN","Yoga-Kundilini","0.0","Casey","M-W","04:40PM06:00","SPORTSDANCE"
"400","10672","PE","101","KYI","Kayaking-Intermediate","0.0","Casey","W","06:10PM09:00","SPORTS"
"401","20464","ART","425","S","Leonardo, Raphael,Michelangel","1.0","David","T-Th","01:10PM02:30","LIB41"
"402","10673","PE","101","LIF","Lifeguard Training","0.0","Casey","M","06:10PM09:00","SPORTS"
"403","10699","PE","101","REL","Yoga-Relaxaion","0.0","Casey","T-Th","06:10PM07:00","SPORTSMAT"
"404","10674","PE","101","ROC","Rock Climbing","0.0","Casey","Th","04:10PM07:00","VOLLUM120"
"405","10675","PE","101","RUG","Rugby-Men and Women","0.0","Casey","T-W-Th","04:10PM06:00","SPORTS"
"406","10750","PE","101","RWB","Rowing-Beginning","0.0","Casey","M-W-F","03:10PM06:00","SPORTS"
